breeze-gtk	kde/breeze-gtk-5.23.5-i586-1.txz
breeze-icons	kde/breeze-icons-5.90.0-noarch-1.txz
bridge-utils	n/bridge-utils-1.7.1-i586-1.txz
brotli	l/brotli-1.0.9-i586-7.txz
bsd-finger	n/bsd-finger-0.17-i586-5.txz
bsd-games	y/bsd-games-2.17-i586-3.txz
btrfs-progs	a/btrfs-progs-5.16-i586-1.txz
bzip2	a/bzip2-1.0.8-i586-3.txz
c-ares	n/c-ares-1.18.1-i586-1.txz
ca-certificates	n/ca-certificates-20211216-noarch-1.txz
cairo	l/cairo-1.16.0-i586-3.txz
cairomm	l/cairomm-1.12.2-i586-4.txz
calendarsupport	kde/calendarsupport-21.12.1-i586-1.txz
calligra	kde/calligra-3.2.1-i586-15.txz
calligraplan	kde/calligraplan-3.3.0-i586-3.txz
cantor	kde/cantor-21.12.1-i586-1.txz
ccache	d/ccache-4.5.1-i586-1.txz
cdparanoia	ap/cdparanoia-III_10.2-i586-5.txz
cdrdao	ap/cdrdao-1.2.4-i586-3.txz
cdrtools	ap/cdrtools-3.02a09-i586-1.txz
cervisia	kde/cervisia-21.12.1-i586-1.txz
cfitsio	l/cfitsio-4.0.0-i586-1.txz
check	d/check-0.15.2-i586-3.txz
chmlib	l/chmlib-0.40-i586-5.txz
cifs-utils	n/cifs-utils-6.14-i586-1.txz
cldr-emoji-annotation	x/cldr-emoji-annotation-37.0_13.0_0_2-noarch-4.txz
clisp	d/clisp-2.50_20191103_c26de7873-i586-5.txz
clucene	l/clucene-2.3.3.4-i586-5.txz
cmake	d/cmake-3.21.4-i586-1.txz
compiz	x/compiz-0.8.18-i586-3.txz
conntrack-tools	n/conntrack-tools-1.4.6-i586-3.txz
coreutils	a/coreutils-9.0-i586-3.txz
cpio	a/cpio-2.13-i586-3.txz
cpufrequtils	a/cpufrequtils-008-i586-4.txz
cracklib	a/cracklib-2.9.7-i586-3.txz
crda	n/crda-4.14-i586-3.txz
cryfs	l/cryfs-0.10.3-i586-4.txz
cryptopp	l/cryptopp-8.2.0-i586-3.txz
cryptsetup	a/cryptsetup-2.4.3-i586-1.txz
cscope	d/cscope-15.9-i586-3.txz
cups	ap/cups-2.3.3op2-i586-1.txz
cups-filters	ap/cups-filters-1.28.11-i586-1.txz
curl	n/curl-7.81.0-i586-1.txz
cvs	d/cvs-1.11.23-i586-7.txz
cyrus-sasl	n/cyrus-sasl-2.1.27-i586-7.txz
daemon	n/daemon-0.8-i586-1.txz
dash	ap/dash-0.5.11.4-i586-1.txz
db48	l/db48-4.8.30-i586-6.txz
dbus	a/dbus-1.12.20-i586-5.txz
dbus-glib	l/dbus-glib-0.112-i586-1.txz
dbus-python	l/dbus-python-1.2.18-i586-3.txz
dc3dd	ap/dc3dd-7.2.646-i586-4.txz
dconf	l/dconf-0.40.0-i586-1.txz
dconf-editor	l/dconf-editor-3.38.3-i586-1.txz
dcron	a/dcron-4.5-i586-11.txz
ddd	xap/ddd-3.3.12-i586-8.txz
ddrescue	ap/ddrescue-1.26-i586-1.txz
dehydrated	n/dehydrated-0.7.0-noarch-3.txz
dejavu-fonts-ttf	x/dejavu-fonts-ttf-2.37-noarch-6.txz
desktop-file-utils	l/desktop-file-utils-0.26-i586-3.txz
dev86	d/dev86-0.16.21-i586-4.txz
devs	a/devs-2.3.1-noarch-25.txz
dhcp	n/dhcp-4.4.2_P1-i586-1.txz
dhcpcd	n/dhcpcd-9.4.1-i586-1.txz
dialog	a/dialog-1.3_20211214-i586-1.txz
diffstat	ap/diffstat-1.64-i586-3.txz
diffutils	ap/diffutils-3.8-i586-1.txz
digikam	kde/digikam-7.5.0-i586-1.txz
distcc	d/distcc-3.4-i586-3.txz
djvulibre	l/djvulibre-3.5.28-i586-3.txz
dmapi	ap/dmapi-2.2.12-i586-5.txz
dmidecode	ap/dmidecode-3.3-i586-3.txz
dnsmasq	n/dnsmasq-2.86-i586-1.txz
dolphin	kde/dolphin-21.12.1-i586-1.txz
dolphin-plugins	kde/dolphin-plugins-21.12.1-i586-1.txz
dosfstools	a/dosfstools-4.2-i586-2.txz
dotconf	l/dotconf-1.3-i586-3.txz
dovecot	n/dovecot-2.3.17.1-i586-1.txz
doxygen	d/doxygen-1.9.3-i586-2.txz
dragon	kde/dragon-21.12.1-i586-1.txz
drkonqi	kde/drkonqi-5.23.5-i586-1.txz
dvd+rw-tools	ap/dvd+rw-tools-7.1-i586-5.txz
dvdauthor	l/dvdauthor-0.7.2-i586-5.txz
e2fsprogs	a/e2fsprogs-1.46.5-i586-1.txz
easytag	xap/easytag-2.4.3-i586-4.txz
ebook-tools	l/ebook-tools-0.2.2-i586-7.txz
ebtables	n/ebtables-2.0.11-i586-3.txz
ed	a/ed-1.17-i586-3.txz
editorconfig-core-c	l/editorconfig-core-c-0.12.5-i586-1.txz
editres	x/editres-1.0.7-i586-4.txz
efibootmgr	a/efibootmgr-20191011_e8ce9fe-i586-4.txz
efivar	a/efivar-20201015_cff88dd-i586-1.txz
egl-wayland	x/egl-wayland-1.1.7-i586-1.txz
eglexternalplatform	x/eglexternalplatform-1.1-i586-1.txz
eigen3	l/eigen3-3.4.0-i586-1.txz
electricsheep	xap/electricsheep-20090306-i586-7.txz
elementary-xfce	xfce/elementary-xfce-0.15.2-i586-1.txz
elfutils	l/elfutils-0.186-i586-1.txz
elilo	a/elilo-3.16-i586-12.txz
elisa	kde/elisa-21.12.1-i586-1.txz
elm	n/elm-2.5.8-i586-7.txz
elogind	a/elogind-246.10-i586-1.txz
elvis	a/elvis-2.2_0-i586-8.txz
emacs	e/emacs-27.2-i586-1.txz
emacspeak	e/emacspeak-53.0-i586-3.txz
enchant	l/enchant-2.3.2-i586-1.txz
encodings	x/encodings-1.0.5-noarch-3.txz
enscript	ap/enscript-1.6.6-i586-4.txz
epic5	n/epic5-2.1.6-i586-3.txz
esound	l/esound-0.2.41-i586-5.txz
espeak-ng	l/espeak-ng-1.50-i586-3.txz
etc	a/etc-15.0-i586-17.txz
ethtool	n/ethtool-5.16-i586-1.txz
eudev	a/eudev-3.2.11-i586-1.txz
eventviews	kde/eventviews-21.12.1-i586-1.txz
exfatprogs	a/exfatprogs-1.1.3-i586-1.txz
exiv2	l/exiv2-0.27.5-i586-1.txz
exo	xfce/exo-4.16.3-i586-1.txz
expat	l/expat-2.4.4-i586-1.txz
expect	tcl/expect-5.45.4-i586-4.txz
extra-cmake-modules	kde/extra-cmake-modules-5.90.0-i586-1.txz
f2fs-tools	a/f2fs-tools-1.14.0-i586-3.txz
falkon	kde/falkon-3.2.0-i586-1.txz
farstream	l/farstream-0.2.9-i586-3.txz
fcitx	x/fcitx-4.2.9.8-i586-3.txz
fcitx-anthy	x/fcitx-anthy-0.2.4-i586-1.txz
fcitx-configtool	x/fcitx-configtool-0.4.10-i586-3.txz
fcitx-hangul	x/fcitx-hangul-0.3.1-i586-3.txz
fcitx-kkc	x/fcitx-kkc-0.1.4-i586-3.txz
fcitx-libpinyin	x/fcitx-libpinyin-0.5.4-i586-2.txz
fcitx-m17n	x/fcitx-m17n-0.2.4-i586-3.txz
fcitx-qt5	x/fcitx-qt5-1.2.7-i586-1.txz
fcitx-sayura	x/fcitx-sayura-0.1.2-i586-3.txz
fcitx-table-extra	x/fcitx-table-extra-0.3.8-i586-3.txz
